"Organisation Name","Town/City","County","Type & Rating","Route"
"Mila Construction Ltd","London",,"Worker (A rating)","Skilled Worker"
"MILANO DESIGN AND BUILD LTD","London",,"Worker (A rating)","Skilled Worker"
"Milano Stores Limited","London",,"Worker (A rating)","Skilled Worker"
"Milans Newsagent T/A ISHI EXPRESS","LONDON",,"Worker (A rating)","Skilled Worker"
"Milbank LLP","London",,"Worker (A rating)","Skilled Worker"
"Milbank LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Milberg London LLP","London",,"Worker (A rating)","Skilled Worker"
"Mild Limited","London",,"Worker (A rating)","Skilled Worker"
"MILDCARE LTD (LINCOLN PHARMACY)","London",,"Worker (A rating)","Skilled Worker"
"Mildmay Mission Hospital","London",,"Worker (A rating)","Skilled Worker"
"Mildreds Limited","London",,"Worker (A rating)","Skilled Worker"
"Mile End Groceries Limited","London",,"Worker (A rating)","Skilled Worker"
"MILE END POST","LONDON",,"Worker (A rating)","Skilled Worker"
"MILESOFSMILES CHILDACRE","CATFORD","LONDON","Worker (A rating)","Skilled Worker"
"MILESTONE ESTATE AGENTS LONDON LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Milestone Restaurants Limited t/a McDonalds","Woolwich, London",,"Worker (A rating)","Skilled Worker"
"Milestone Ventures Ltd","London",,"Worker (A rating)","Skilled Worker"
"MILESTONES LONDON LIMITED","Amersham","Buckinghamshire","Worker (A rating)","Skilled Worker"
"Mileway UK Management Ltd","London",,"Worker (A rating)","Skilled Worker"
"MILIA YACHTING LTD","London",,"Worker (A rating)","Skilled Worker"
"MILIFORTUNE LTD","London",,"Worker (A rating)","Skilled Worker"
"Milk Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Milk Management Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"Milk Visual Effects Limited","London",,"Worker (A rating)","Skilled Worker"
"Milken Europe Limited","London",,"Worker (A rating)","Skilled Worker"
"Milky's UK Ltd","LONDON",,"Worker (A rating)","Skilled Worker"
"MILL HILL COUNTY HIGH SCHOOL","LONDON",,"Worker (A rating)","Skilled Worker"
"Mill Hill Newsagents Limited","London",,"Worker (A rating)","Skilled Worker"
"Mill Hill School Foundation","London",,"Worker (A rating)","Skilled Worker"
"Millards Hotel Ltd T/A Days Inn Hyde Park","London",,"Worker (A rating)","Skilled Worker"
"MILLCROFT MANAGEMENT LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Millcroft Services Plc","Greenwich","London","Worker (A rating)","Skilled Worker"
"Mille Patisserie","London",,"Worker (A rating)","Skilled Worker"
"Millena Limited","LONDON","London","Worker (A rating)","Skilled Worker"
"Millenial Developments Limited","London",,"Worker (A rating)","Skilled Worker"
"Millenium Employment Agency Ltd","London","Lambeth","Worker (A rating)","Skilled Worker"
"Millennia (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"MILLENNIUM & COPTHORNE HOTELS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"MILLENNIUM & COPTHORNE HOTELS LTD","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Millennium Capital & Estates Ltd","London",,"Worker (A rating)","Skilled Worker"
"Millennium Capital Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Millennium Capital Management Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Millennium Care Ltd","Palmers Green","London","Worker (A rating)","Skilled Worker"
"Millennium Europe Limited","London",,"Worker (A rating)","Skilled Worker"
"Millennium Europe Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Millennium Global Investments Limited","London",,"Worker (A rating)","Skilled Worker"
"Millennium Global Treasury Services Limited","London",,"Worker (A rating)","Skilled Worker"
"MILLENNIUM GROUP (INT) LTD","London",,"Worker (A rating)","Skilled Worker"
"Miller Druck Stone and Tile Ltd","London",,"Worker (A rating)","Skilled Worker"
"Miller Hare Limited","London","London","Worker (A rating)","Skilled Worker"
"Miller Insurance Services LLP","London",,"Worker (A rating)","Skilled Worker"
"Miller Insurance Services LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Millers Bespoke Bakery Ltd","London",,"Worker (A rating)","Skilled Worker"
"Millfield Healthcare Services LTD","London",,"Worker (A rating)","Skilled Worker"
"Millicom Services UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Millicom Services UK Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Milliman Financial Strategies Ltd","London",,"Worker (A rating)","Skilled Worker"
"Milliman Financial Strategies Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Milliman LLP","London",,"Worker (A rating)","Skilled Worker"
"Milliman LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MILLIWAYS FOOD LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Millrock London Ltd","Cheshunt",,"Worker (A rating)","Skilled Worker"
"Milltown Partners GBR Limited","London",,"Worker (A rating)","Skilled Worker"
"Millway Medical Practice","London",,"Worker (A rating)","Skilled Worker"
"Milma Foods UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Milo Music Limited","London",,"Worker (A rating)","Skilled Worker"
"Miltons of Pimlico Ltd","London",,"Worker (A rating)","Skilled Worker"
"Milvik UK  Limited","London",,"Worker (A rating)","Skilled Worker"
"Milvik UK  Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mima Group Limited","London",,"Worker (A rating)","Skilled Worker"
"MIMASM Ltd t/a Appamondo","London",,"Worker (A rating)","Skilled Worker"
"Mimbre Limited","London",,"Temporary Worker (A rating)","Creative Worker"
"Mimecast Services Limited","London",,"Worker (A rating)","Skilled Worker"
"Mimecast Services Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mimi Miesi Limited","London",,"Worker (A rating)","Skilled Worker"
"Mimica Automation Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mimi's Hotel Soho","London",,"Worker (A rating)","Skilled Worker"
"Mimma's Limited","London","London, City of","Worker (A rating)","Skilled Worker"
"MiNA Therapeutics Limited","London",,"Worker (A rating)","Skilled Worker"
"Minamoto Kitchoan Europe Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minamoto Kitchoan Europe Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minamoto Kitchoan Europe Ltd","London",,"Temporary Worker (A rating)","Global Business Mobility: Graduate Trainee"
"Mina's","London",,"Worker (A rating)","Skilled Worker"
"Mind Candy Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mind Candy Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mind Gym Plc","London",,"Worker (A rating)","Skilled Worker"
"Mind Gym Plc","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mind in Barnet","London",,"Worker (A rating)","Skilled Worker"
"Mind in Haringey","London",,"Worker (A rating)","Skilled Worker"
"Mind Of My Own Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mind the Gap Consulting Ltd.","London",,"Worker (A rating)","Skilled Worker"
"MINDBODY Limited","London",,"Worker (A rating)","Skilled Worker"
"MINDBODY Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mindful Arch N Decor Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mindful Education","London",,"Worker (A rating)","Skilled Worker"
"MindLink Software Limited","London",,"Worker (A rating)","Skilled Worker"
"MINDMAZE Healthcare UK LTD","London",,"Worker (A rating)","Skilled Worker"
"MINDMAZE Healthcare UK LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MINDPATH TECHNOLOGY LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MindPortal Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MindPortal Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minds I Media Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"Minds Matter (Trading Activities) Limited","London",,"Worker (A rating)","Skilled Worker"
"MINDSEARCH LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"MINDSET AI LTD","London",,"Worker (A rating)","Skilled Worker"
"Mindset Technologies Limited (trading as Mindstep)","London",,"Worker (A rating)","Skilled Worker"
"Mindspace London Limited","London",,"Worker (A rating)","Skilled Worker"
"Mindstone Learning Limited (t/a Mindstone)","London",,"Worker (A rating)","Skilled Worker"
"Mindtree IT Solutions Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mindtree Limited","London",,"Worker (A rating)","Skilled Worker"
"Mindtree Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mindwave Ventures Limited","London",,"Worker (A rating)","Skilled Worker"
"Minel Cosmetic Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minel Cosmetic Limited","London",,"Worker (A rating)","Skilled Worker"
"Minerva Research Labs Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minerva","London","Other...","Worker (A rating)","Skilled Worker"
"Minervise Accounting and Taxation Limited","London",,"Worker (A rating)","Skilled Worker"
"Minet Green Health Practice","London",,"Worker (A rating)","Skilled Worker"
"Minety Battery Storage Limited","London",,"Worker (A rating)","Skilled Worker"
"Minety Battery Storage Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minga London Limited","Stansted","Essex","Worker (A rating)","Skilled Worker"
"Mingletech Limited","London",,"Worker (A rating)","Skilled Worker"
"Minhaj ul Quran International","London",,"Worker (A rating)","Skilled Worker"
"Minhaj ul Quran International","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Minhaj ul Quran International","London",,"Temporary Worker (A rating)","Religious Worker"
"Minhaj ul Quran International","London",,"Temporary Worker (A rating)","Creative Worker"
"Minhas Law Associates Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mini Convey Limited","London",,"Worker (A rating)","Skilled Worker"
"Mini Mart One Limited T/A Mini Mart","London",,"Worker (A rating)","Skilled Worker"
"Mini Title Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mini Title Ltd.","London",,"Temporary Worker (A rating)","Creative Worker"
"MINICABRIDE LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MINICABS-UK LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Miniclip (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Miniclip (UK) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minik Kardes Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minimax Labs Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minimum Ltd","London",,"Worker (A rating)","Skilled Worker"
"Ministerio Palavra Genuina - Christ Apostolic Church London Ltd","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Ministry of Automattic Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Ministry of Hope Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"Ministry of Justice","London",,"Worker (A rating)","Skilled Worker"
"Ministry of Marketing Ltd","Harrow","Greater London","Worker (A rating)","Skilled Worker"
"Ministry of Sound Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"Ministry of Sound Group Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"Minmetals (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minmetals (UK) Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MINMETALS IRON & STEEL UK LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"MINMETALS IRON & STEEL UK LTD","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minoa Cherubs Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minocha Associates Ltd","London",,"Worker (A rating)","Skilled Worker"
"Minor Figures Limited","London",,"Worker (A rating)","Skilled Worker"
"Minori London Limited, T/A Minori Rosta","Rickmansworth",,"Worker (A rating)","Skilled Worker"
"MINORITY RIGHTS GROUP","London","Greater London","Worker (A rating)","Skilled Worker"
"MINORITY RIGHTS GROUP","London","Greater London","Temporary Worker (A rating)","Charity Worker"
"Minsa Care Limited","london","London","Worker (A rating)","Skilled Worker"
"MINT Branch UK","London",,"Worker (A rating)","Skilled Worker"
"MINT COTTAGE LTD t/a MONSOON GRILL","London","England","Worker (A rating)","Skilled Worker"
"Mint Dental Clinic Limited","London",,"Worker (A rating)","Skilled Worker"
"Mint Linen Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mint Selection Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mintel Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mintel Group Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Minter Ellison","London",,"Worker (A rating)","Skilled Worker"
"Minter Ellison","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mintus Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"Minviro Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mio Coffee Limited","London",,"Worker (A rating)","Skilled Worker"
"MIP Building Maintenance Limited","London",,"Worker (A rating)","Skilled Worker"
"MiQ Digital Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MiQ Digital Limited","London",,"Worker (A rating)","Skilled Worker"
"Mir & Mian Limited T/a Kula","London",,"Worker (A rating)","Skilled Worker"
"Mir Javed Akhtar t/a Kingsmere Cleaners","London",,"Worker (A rating)","Skilled Worker"
"Mirabaud & CIE (Europe) S.A.","London",,"Worker (A rating)","Skilled Worker"
"Mirabaud Asset Management Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mirabaud Asset Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Mirabaud Securities Limited","London",,"Worker (A rating)","Skilled Worker"
"Miracle Macau Luxury Trading Limited","London",,"Worker (A rating)","Skilled Worker"
"Mirae Asset Securities (UK) Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mirae Asset Securities (UK) Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mirakl Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mirakl Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MIRAL International Limited","London",,"Worker (A rating)","Skilled Worker"
"Miranda Limited T/A Om Double Glazing","London",,"Worker (A rating)","Skilled Worker"
"Mirastar Real Estate Investment Management Limited","London",,"Worker (A rating)","Skilled Worker"
"Mirastar Real Estate Investment Management Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mirchris Limited","London",,"Worker (A rating)","Skilled Worker"
"Mireya (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"Miri Growth Limited","London",,"Worker (A rating)","Skilled Worker"
"Miro EMEA UK Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Miro EMEA UK Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Miro Forestry Developments Ltd","London",,"Worker (A rating)","Skilled Worker"
"Miroma International Limited","London",,"Worker (A rating)","Skilled Worker"
"Miroma International Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mirova UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Mirova UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mirriad Advertising Plc","London",,"Worker (A rating)","Skilled Worker"
"MIRROR GLOBAL ASSOCIATES LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MISC Berhad (UK) Limited","London",,"Worker (A rating)","Skilled Worker"
"MISC Berhad (UK) Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MISELA LONDON LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Misfits Health Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mishcon de Reya LLP","London",,"Worker (A rating)","Skilled Worker"
"MISHELLIS PROPERTIES LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Mishipay Ltd","London",,"Worker (A rating)","Skilled Worker"
"Misnak International UK Ltd","London",,"Worker (A rating)","Skilled Worker"
"Miss Patina Ltd","London",,"Worker (A rating)","Skilled Worker"
"Miss Privee Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mission Accountants Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mission EmployAble","Hayes, London","Surrey","Worker (A rating)","Skilled Worker"
"Mission Ghana Prayer Outreach Ministry Ltd","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Mission Ghana Prayer Outreach Ministry Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mission Grove Primary School","London",,"Worker (A rating)","Skilled Worker"
"Mission Zero Technologies Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mission44","London",,"Worker (A rating)","Skilled Worker"
"Missionaries of Charity","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Missionaries of the Sacred Heart of Jesus","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Missionaries of the Sacred Heart of Jesus","London",,"Temporary Worker (A rating)","Religious Worker"
"Missionary Congregation of Evangelizing Sisters of Mary","London","Camden","Worker (A rating)","Tier 2 Ministers of Religion"
"Missionary Congregation of Evangelizing Sisters of Mary","London","Camden","Temporary Worker (A rating)","Charity Worker"
"Missionary Sisters of the Immaculate","London",,"Worker (A rating)","Tier 2 Ministers of Religion"
"Missionary Sisters of the Immaculate","London",,"Temporary Worker (A rating)","Religious Worker"
"Missionary Society of St Paul","Brixton","London","Worker (A rating)","Tier 2 Ministers of Religion"
"Missionary Society of St Paul","Brixton","London","Temporary Worker (A rating)","Religious Worker"
"Missoma","London",,"Worker (A rating)","Skilled Worker"
"MIST HUT LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Mister Men Limited","London",,"Worker (A rating)","Skilled Worker"
"Mister Men Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MITENDER CARE LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MITHAI GHAR LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"Mithras Underwriting Europe SRL (UK Branch)","London",,"Worker (A rating)","Skilled Worker"
"Mithrasol Limited","London",,"Worker (A rating)","Skilled Worker"
"Mitiga-UK Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mitiga-UK Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitra Innovation Limited","London",,"Worker (A rating)","Skilled Worker"
"Mitra Innovation Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mits UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi Corporation International (Europe) Plc","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi Corporation International (Europe) Plc","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi Corporation International (Europe) Plc","London",,"Temporary Worker (A rating)","Global Business Mobility: Graduate Trainee"
"Mitsubishi Estate London Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi Heavy Industries EMEA, Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi Heavy Industries EMEA, Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi Materials Corporation, London Office","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi Power Europe, Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi Power Europe, Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi Research Institute DCS Co.,Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi Research Institute DCS Co.,Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MITSUBISHI TANABE PHARMA EUROPE LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"MITSUBISHI TANABE PHARMA EUROPE LIMITED","LONDON",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi UFJ Asset Management (UK) Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi UFJ Asset Management (UK) Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi UFJ Trust and Banking Corporation","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi UFJ Trust and Banking Corporation","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsubishi UFJ Trust International Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mitsubishi UFJ Trust International Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsui & Co. Europe PLC","London",,"Worker (A rating)","Skilled Worker"
"Mitsui & Co. Europe PLC","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsui Bussan Commodities Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mitsui Bussan Commodities Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsui E&S Machinery Europe Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsui Fudosan (U.K.) Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mitsui Fudosan (U.K.) Ltd","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitsuryu Limited","London",,"Worker (A rating)","Skilled Worker"
"Mittal Investments UK Limited","London",,"Worker (A rating)","Skilled Worker"
"Mittal Investments UK Limited","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mitto Technologies Limited","London",,"Worker (A rating)","Skilled Worker"
"Miura & Partners","London",,"Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"MIX ASSOCIATES LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"Mixcloud Limited","London",,"Worker (A rating)","Skilled Worker"
"Mixode Ltd","London","Here East","Worker (A rating)","Skilled Worker"
"MIXWARD LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Mizrahi Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mizrahi-Tefahot Bank Ltd","London","Please select","Worker (A rating)","Skilled Worker"
"Mizuho Bank, Ltd.","London",,"Worker (A rating)","Skilled Worker"
"Mizuho Bank, Ltd.","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mizuho EMEA Corporate Services Limited"," London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mizuho EMEA Corporate Services Limited"," London",,"Worker (A rating)","Skilled Worker"
"Mizuho International plc","London",,"Worker (A rating)","Skilled Worker"
"Mizuho International plc","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"Mizuno Gakuen London Limited","London",,"Worker (A rating)","Global Business Mobility: UK Expansion Worker"
"MJ Family Group Ltd","London",,"Worker (A rating)","Skilled Worker"
"MJH food services ltd","London",,"Worker (A rating)","Skilled Worker"
"MJI Enterprise Ltd","London",,"Worker (A rating)","Skilled Worker"
"MJI Property Ltd","London",,"Worker (A rating)","Skilled Worker"
"MJJ TRADING LTD","London",,"Worker (A rating)","Skilled Worker"
"MJMK RESTAURANTS LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"MJMK","London",,"Worker (A rating)","Skilled Worker"
"MJZ LTD","London",,"Temporary Worker (A rating)","Creative Worker"
"Mk & Co Services Ltd","London",,"Worker (A rating)","Skilled Worker"
"MK Design & Build LTD","London",,"Worker (A rating)","Skilled Worker"
"MK ENGINEERING EXPERT LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MKA Advisory Ltd","London",,"Worker (A rating)","Skilled Worker"
"MKH Courier Services Limited","London",,"Worker (A rating)","Skilled Worker"
"MKH Dynamics Limited","London",,"Worker (A rating)","Skilled Worker"
"MKH ENTERPRISES LTD","LONDON","Q","Worker (A rating)","Skilled Worker"
"MKI (U.K.) ,LTD","London",,"Worker (A rating)","Skilled Worker"
"MKI (U.K.) ,LTD","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MKL Motors","London",,"Worker (A rating)","Skilled Worker"
"MKM ENTERPRISES LTD T/A APACHE PIZZA","LONDONDERRY",,"Worker (A rating)","Skilled Worker"
"mkodo ltd","London",,"Worker (A rating)","Skilled Worker"
"MKP Capital Europe LLP","London",,"Worker (A rating)","Skilled Worker"
"MKP Capital Europe LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MKP FOODS LONDON LIMITED","Romford",,"Worker (A rating)","Skilled Worker"
"MKP LONDON LTD","London","Englad","Worker (A rating)","Skilled Worker"
"MKS PAMP GROUP Limited","London",,"Worker (A rating)","Skilled Worker"
"MKV Design Limited","London",,"Worker (A rating)","Skilled Worker"
"ML Film Holdings Ltd","London",,"Temporary Worker (A rating)","Creative Worker"
"ML Meat Supplies LTD","London",,"Worker (A rating)","Skilled Worker"
"MLC PARTNERS LTD","London",,"Worker (A rating)","Skilled Worker"
"MLECZKO DELICATESSENS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"Mlinaric, Henry & Zervudachi","LONDON",,"Worker (A rating)","Skilled Worker"
"MLL LEGAL LLP","London",,"Worker (A rating)","Global Business Mobility: Senior or Specialist Worker"
"MLL LEGAL LLP","London",,"Worker (A rating)","Skilled Worker"
"MM BRK LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"MM CURRY LTD t/a CURRY LEAF","London","ENGLAND","Worker (A rating)","Skilled Worker"
"MM Football Promotions Limited","London",,"Worker (A rating)","Skilled Worker"
"MM Rahman (UK) Ltd","London",,"Worker (A rating)","Skilled Worker"
"MM RETAILERS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MM&S BUILDERS LTD","London","United Kingdom","Worker (A rating)","Skilled Worker"
"MM&SS LIMITED","London",,"Worker (A rating)","Skilled Worker"
"MMBA London Ltd","London",,"Worker (A rating)","Skilled Worker"
"MMBP Limited","London",,"Worker (A rating)","Skilled Worker"
"MMC Ventures Limited","London",,"Worker (A rating)","Skilled Worker"
"MMG BUSINESS LONDON LTD","LONDON",,"Temporary Worker (A rating)","Creative Worker"
"MMG UK Logistics Consultancy LTD","London",,"Worker (A rating)","Skilled Worker"
"MMGY Global UK Holding Ltd","London",,"Worker (A rating)","Skilled Worker"
"MML Holdco 7 Ltd","London",,"Worker (A rating)","Skilled Worker"
"MMM GROUP LTD","London",,"Worker (A rating)","Skilled Worker"
"MMR BUSINESS LTD","London",,"Worker (A rating)","Skilled Worker"
"MMR HOMECARE LIMITED","LONDON",,"Worker (A rating)","Skilled Worker"
"MMW TRADERS LTD","London",,"Worker (A rating)","Skilled Worker"
"MMYSUPPORTIVE LTD","London",,"Worker (A rating)","Skilled Worker"
"MMYWORLD LTD","London",,"Worker (A rating)","Skilled Worker"
"MN Autos Limited","London",,"Worker (A rating)","Skilled Worker"
"MN2S Management Limited","London","Surrey","Temporary Worker (A rating)","Creative Worker"
"MNFST Studio Ltd","London","United Kingdom","Worker (A rating)","Skilled Worker"
"MNK RE Limited","London",,"Worker (A rating)","Skilled Worker"
"MNO Fitness Ltd","London",,"Worker (A rating)","Skilled Worker"
"MNP FOODS LTD","LONDON",,"Worker (A rating)","Skilled Worker"
"MO & SI Limited","London",,"Worker (A rating)","Skilled Worker"
"Moaden Accounting Ltd","LONDON","United Kingdom","Worker (A rating)","Skilled Worker"
"MOAI Health Ltd","LONDON","Derry / Londonderry","Worker (A rating)","Skilled Worker"
"MobiBiz Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mobifixonline.com Limited","London",,"Worker (A rating)","Skilled Worker"
"Mobile And Vape Hub Ltd","London",,"Worker (A rating)","Skilled Worker"
"Mobile Car Services (London) LTD","Edgware","Middlesex","Worker (A rating)","Skilled Worker"
